Country,AverageofAge,AverageofNetWorth
Algeria,77,4.8
Argentina,85.75,3.06
Australia,65.30232558,4.125
Austria,69.58333333,5.225
Belgium,60.66666667,4.2
Brazil,61.91803279,3.256923077
Canada,63.75,3.6109375
Chile,71.66666667,4.744444444
China,56.12295082,4.04456869
Colombia,72.4,5.24
Cyprus,59,3.62
Czechia,55.88888889,4.6
Denmark,48.77777778,6.13
Egypt,70.83333333,3.066666667
Eswatini (Swaziland),89,4.7
Finland,60.85714286,2.357142857
France,67.82926829,12.1952381
Georgia,55,4
Germany,63.37391304,4.599264706
Greece,70.5,3.475
Guernsey,68,2.6
Hong Kong,65.14705882,6.312676056
Hungary,61.5,1.35
Iceland,48.5,1.6
India,67.8358209,4.26
Indonesia,71.95238095,4.047619048
Ireland,62.77777778,4.766666667
Israel,64.56,2.92
Italy,68.89795918,4.009803922
Japan,66.5625,4.6
Kazakhstan,56.2,3.38
Lebanon,58.83333333,1.8
Liechtenstein,63,5.5
Macao,68,3.1
Malaysia,71.375,4
Mexico,72.23076923,10.46923077
Monaco,77,1.6
Morocco,74,1.6
Nepal,65,1.4
Netherlands,64.66666667,3.65
New Zealand,63.5,5.55
Nigeria,63.33333333,7.5
Norway,51.33333333,3.191666667
Oman,82,2.3
Peru,74.33333333,1.9
Philippines,67.94117647,2.682352941
Poland,53.375,2.5375
Portugal,66,3.6
Qatar,67,1.45
Romania,65,3.85
Russia,56.97457627,4.966101695
Singapore,65.73076923,5.811111111
Slovakia,52,1.45
South Africa,68.6,4.42
South Korea,59.25581395,2.823255814
Spain,68.82142857,4.566666667
St. Kitts and Nevis,81,1.6
Sweden,58.68292683,4.43902439
Switzerland,65.275,3.6375
Taiwan,72.48888889,2.459574468
Tanzania,45,1.6
Thailand,70.92857143,3.4
Turkey,66.92592593,2.044444444
Ukraine,55.71428571,2.7
United Arab Emirates,68,2.75
United Kingdom,66.72222222,3.819642857
United States,66.00972222,6.075138122
Venezuela,61,3.2
Vietnam,55,2.783333333
Zimbabwe,60,1.5
Grand Total,63.11360239,4.749219601
